	A	C	D	E	F	G	H	I	K	L	M	N	P	Q	R	S	T	V	W	Y	B	J	X	Z
A	1	0.33	0.24	0.38	0.21	0.45	0.29	0.46	0.23	0.16	0.25	0.15	0.45	0.22	0.32	0.64	0.38	0.45	0.08	0.14	0.33	0.23	0	0
C	0.33	1	0.24	0.14	0.04	0.08	0	0.19	0.13	0.22	0.25	0.05	0.13	0.13	0	0.35	0.19	0.14	0	0.05	1	0.13	0	0
D	0.24	0.24	1	0.52	0.17	0.27	0.28	0.01	0.02	0.09	0.16	0.19	0.11	0.29	0.06	0.25	0.16	0.01	0.03	0.05	0.24	0.02	0	0
E	0.38	0.14	0.52	1	0.22	0.25	0.25	0.07	0.09	0.09	0.26	0.2	0.17	0.38	0.08	0.29	0.16	0.13	0.19	0.06	0.14	0.09	0	0
F	0.21	0.04	0.17	0.22	1	0.23	0.39	0.39	0.11	0.39	0.3	0.09	0.16	0.13	0.14	0.09	0.11	0.17	0.42	0.63	0.04	0.11	0	0
G	0.45	0.08	0.27	0.25	0.23	1	0.18	0.06	0.13	0.13	0.09	0.12	0.16	0.13	0.14	0.34	0.25	0.11	0.1	0.11	0.08	0.13	0	0
H	0.29	0	0.28	0.25	0.39	0.18	1	0.26	0.5	0.12	0.36	0.36	0.27	0.28	0.28	0.15	0.21	0.21	0.16	0.26	0	0.5	0	0
I	0.46	0.19	0.01	0.07	0.39	0.06	0.26	1	0.21	0.69	0.36	0.16	0.22	0.24	0.2	0.22	0.48	0.78	0.16	0.23	0.19	0.21	0	0
K	0.23	0.13	0.02	0.09	0.11	0.13	0.5	0.21	1	0.22	0.33	0.22	0.16	0.29	0.62	0.13	0.15	0.21	0.01	0.15	0.13	1	0	0
L	0.16	0.22	0.09	0.09	0.39	0.13	0.12	0.69	0.22	1	0.33	0.19	0.16	0.07	0.19	0.17	0.18	0.38	0.17	0.15	0.22	0.22	0	0
M	0.25	0.25	0.16	0.26	0.3	0.09	0.36	0.36	0.33	0.33	1	0.18	0.29	0.54	0.3	0.27	0.16	0.21	0.14	0.22	0.25	0.33	0	0
N	0.15	0.05	0.19	0.2	0.09	0.12	0.36	0.16	0.22	0.19	0.18	1	0.21	0.29	0.24	0.15	0.27	0.13	0.12	0.1	0.05	0.22	0	0
P	0.45	0.13	0.11	0.17	0.16	0.16	0.27	0.22	0.16	0.16	0.29	0.21	1	0.29	0.12	0.27	0.22	0.12	0.11	0.08	0.13	0.16	0	0
Q	0.22	0.13	0.29	0.38	0.13	0.13	0.28	0.24	0.29	0.07	0.54	0.29	0.29	1	0.32	0.32	0.23	0.15	0.01	0.12	0.13	0.29	0	0
R	0.32	0	0.06	0.08	0.14	0.14	0.28	0.2	0.62	0.19	0.3	0.24	0.12	0.32	1	0.22	0.25	0.2	0.09	0.08	0	0.62	0	0
S	0.64	0.35	0.25	0.29	0.09	0.34	0.15	0.22	0.13	0.17	0.27	0.15	0.27	0.32	0.22	1	0.75	0.12	0.01	0.11	0.35	0.13	0	0
T	0.38	0.19	0.16	0.16	0.11	0.25	0.21	0.48	0.15	0.18	0.16	0.27	0.22	0.23	0.25	0.75	1	0.5	0.07	0.08	0.19	0.15	0	0
V	0.45	0.14	0.01	0.13	0.17	0.11	0.21	0.78	0.21	0.38	0.21	0.13	0.12	0.15	0.2	0.12	0.5	1	0.15	0.16	0.14	0.21	0	0
W	0.08	0	0.03	0.19	0.42	0.1	0.16	0.16	0.01	0.17	0.14	0.12	0.11	0.01	0.09	0.01	0.07	0.15	1	0.23	0	0.01	0	0
Y	0.14	0.05	0.05	0.06	0.63	0.11	0.26	0.23	0.15	0.15	0.22	0.1	0.08	0.12	0.08	0.11	0.08	0.16	0.23	1	0.05	0.15	0	0
B	0.33	1	0.24	0.14	0.04	0.08	0	0.19	0.13	0.22	0.25	0.05	0.13	0.13	0	0.35	0.19	0.14	0	0.05	1	0	0	0
J	0.23	0.13	0.02	0.09	0.11	0.13	0.5	0.21	1	0.22	0.33	0.22	0.16	0.29	0.62	0.13	0.15	0.21	0.01	0.15	0	1	0	0
X	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Z	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
